nm,abs,blue,bluegreen,green,orange,white,yellow,red
536.11,0.11751008,29,437,166.501,20.576,1399.087,20,7.854
536.45,0.1153605,32.52,435.834,166,23,1394,17.707,17
536.79,0.11392745,32,420,179.501,27.576,1393.087,12,13.854
537.14,0.1124944,33.52,392.834,196,25,1389,18.707,11
537.48,0.11034483,32,387,198.501,27.576,1389.087,17,10.854
537.82,0.10819525,32.52,383.834,218,32,1409,17.707,17
538.16,0.10747873,34,382,226.501,26.576,1387.087,18,6.854
538.5,0.10532915,25.52,362.834,231,23,1383,17.707,4
538.85,0.1038961,28,366,242.501,30.576,1394.087,18,17.854
539.19,0.10246305,25.52,351.834,257,32,1392,17.707,17
539.53,0.10031348,32,328,263.501,24.576,1387.087,9,15.854
539.87,0.09959695,31.52,333.834,271,32,1371,10.707,9
540.21,0.09744738,26,336,281.501,28.576,1396.087,14,13.854
540.55,0.09601433,28.52,313.834,310,28,1392,19.707,14
540.9,0.09458128,21,319,319.501,29.576,1391.087,29,13.854
541.24,0.09243171,26.52,300.834,326,31,1399,14.707,14
541.58,0.09099866,26,309,350.501,33.576,1370.087,20,12.854
541.92,0.08956561,23.52,290.834,367,43,1390,19.707,13
542.26,0.08813256,27,293,386.501,33.576,1397.087,20,13.854
542.6,0.08669951,31.52,283.834,397,32,1360,24.707,10
542.94,0.08526646,29,275,419.501,37.576,1359.087,18,17.854
543.29,0.08383341,30.52,269.834,437,48,1362,24.707,17
543.63,0.08240036,29,258,477.501,48.576,1363.087,27,15.854
543.97,0.08025078,22.52,256.834,481,44,1365,23.707,16
544.31,0.07953426,25,250,503.501,37.576,1354.087,23,16.854
544.65,0.07810121,25.52,246.834,518,57,1348,20.707,16
544.99,0.07666816,26,239,547.501,44.576,1323.087,26,13.854
545.33,0.07523511,26.52,238.834,586,52,1352,25.707,18
545.67,0.07380206,27,235,619.501,51.576,1343.087,21,8.854
546.01,0.07236901,25.52,228.834,645,54,1363,26.707,17
546.36,0.07165249,20,211,682.501,62.576,1347.087,29,19.854
546.7,0.07021944,22.52,213.834,695,53,1366,28.707,16
547.04,0.06878639,19,212,715.501,55.576,1339.087,27,6.854
547.38,0.06806986,19.52,204.834,789,72,1347,31.707,13
547.72,0.06663681,27,197,816.501,67.576,1352.087,27,13.854
548.06,0.06520376,14.52,197.834,847,70,1353,32.707,14
548.4,0.06448724,24,196,875.501,74.576,1344.087,29,9.854
548.74,0.06305419,16.52,189.834,941,80,1338,24.707,14
549.08,0.06162114,16,188,989.501,72.576,1324.087,32,12.854
549.42,0.06018809,17.52,175.834,1032,82,1329,29.707,14
549.76,0.05947156,23,184,1065.501,86.576,1322.087,36,8.854
